Simulation results for 1 VNF: 


SFC Availability greedy 1: 0.9994300212666184

SFC Availability greedy 2: 0.9994300212666184

SFC availability via MCF: 0.9994300212666184


SFC Availability greedy 1: 0.9991181239968092

SFC Availability greedy 2: 0.9991181239968092

SFC availability via MCF: 0.9991181239968092


SFC Availability greedy 1: 0.9986384939411403

SFC Availability greedy 2: 0.9986384939411403

SFC availability via MCF: 0.9986384939411403


SFC Availability greedy 1: 0.9994169246382955

SFC Availability greedy 2: 0.9994169246382955

SFC availability via MCF: 0.9994169246382955


SFC Availability greedy 1: 0.9985456917572944

SFC Availability greedy 2: 0.9985456917572944

SFC availability via MCF: 0.9985456917572944


SFC Availability greedy 1: 0.9980459526814117

SFC Availability greedy 2: 0.9980459526814117

SFC availability via MCF: 0.9980459526814117


SFC Availability greedy 1: 0.9989414533991507

SFC Availability greedy 2: 0.9989414533991507

SFC availability via MCF: 0.9989414533991507


SFC Availability greedy 1: 0.998920785459891

SFC Availability greedy 2: 0.998920785459891

SFC availability via MCF: 0.998920785459891


SFC Availability greedy 1: 0.9997120098786497

SFC Availability greedy 2: 0.9997120098786497

SFC availability via MCF: 0.9997120098786497


SFC Availability greedy 1: 0.9989123773001953

SFC Availability greedy 2: 0.9989123773001953

SFC availability via MCF: 0.9989123773001953


Simulation results for 4 VNF: 


SFC Availability greedy 1: 0.995072784013504

SFC Availability greedy 2: 0.9949673951504806

SFC availability via MCF: 0.995072784013504


SFC Availability greedy 1: 0.9942846258109204

SFC Availability greedy 2: 0.9940368737912599

SFC availability via MCF: 0.9942846258109205


SFC Availability greedy 1: 0.997608159049109

SFC Availability greedy 2: 0.9975185583002152

SFC availability via MCF: 0.997608159049109


SFC Availability greedy 1: 0.9966169977061018

SFC Availability greedy 2: 0.9965026196044847

SFC availability via MCF: 0.9966169977061017


SFC Availability greedy 1: 0.9954989142216955

SFC Availability greedy 2: 0.9953245394002986

SFC availability via MCF: 0.9954989142216955


SFC Availability greedy 1: 0.9960407162100482

SFC Availability greedy 2: 0.9959841245367261

SFC availability via MCF: 0.9960407162100482


SFC Availability greedy 1: 0.9961104019503164

SFC Availability greedy 2: 0.9959805327656229

SFC availability via MCF: 0.9961104019503163


SFC Availability greedy 1: 0.9943670424436163

SFC Availability greedy 2: 0.9940769273076777

SFC availability via MCF: 0.9943670424436163


SFC Availability greedy 1: 0.9976349320479139

SFC Availability greedy 2: 0.9975672138231002

SFC availability via MCF: 0.997634932047914


SFC Availability greedy 1: 0.9963458507808028

SFC Availability greedy 2: 0.9962153018148955

SFC availability via MCF: 0.9963458507808028


Simulation results for 7 VNF: 


SFC Availability greedy 1: 0.9934808751700105

SFC Availability greedy 2: 0.9928124179616628

SFC availability via MCF: 0.9934808751700105


SFC Availability greedy 1: 0.9943746478159441

SFC Availability greedy 2: 0.9939396845515684

SFC availability via MCF: 0.9943746478159442


SFC Availability greedy 1: 0.989103498731011

SFC Availability greedy 2: 0.9881082296235406

SFC availability via MCF: 0.9891034987310109


